,gid,black,white,black_rating,white_rating,move_list,winner
4023,44162,Niall,hurburtsnail,2218,1330,a3g7i7k10h10j4f7g5h6h9d6e9g6i9d9b13f10f8d10e8c8d3e4d12e11e12g11f3e3f1e2e1d2d1c2c1a2,black
4024,44161,Greg Pallis,Niall,1476,2218,a3g7c11j10e7f5d6e3f4d9f8e4e5g3f3g1f2d11c10d7c9f9b8c7b7b13e11b9c12d12i8j4g8e6c8c13g10g9h8c6b6c4a5b3a4b1b2c1c2d1d2e1e2f1g2h1i2h2h4i3h3g4i5i6h6h9i9h11h10f11m9l8k11h12k9j9k8j8k7j7k6j5,white
4025,44158,Niall,Charles Foster Kane,2218,1681,a3f8h7h6j5g9i8i7k6j9d9j7e7e6f6g4h5i4h4i2d5e4f5e5f4g2h2g3h3g6g5d10e10e9a12b11a11a13b12b13c12c13d12d13h10f12e12e13g11g13g12f13i12f11k7j8k9j11k11k8m7k10,white
4026,43090,Niall,Nicolai Czempin,2218,1334,l12h7f7f8c9d10b11d8c8d7c7b12c11c12d11c5d5e2f3e4d4e3c3d1b2d12e11e12f11f12g11,black
4027,43089,vacsi,Niall,1378,2218,d9*f4e10f8g9c10c11h9h8i6j7,white
4028,43086,Niall,Greg Pallis,2218,1476,m10*c3c5j10k3d9h6f6g3e4e10c11e6f5e7f7e8f8e9g9f11h10g12i11h13k11,black
4029,42761,Niall,TERMINATOR,2218,1476,l12h7e7e8c9d8c8d6d7f5k7j3g5f6g6f7g7g4i3h4i4h5i5i6h6f9g8g10h9h10j9j10i10i9l5k5l4k4l3l2k3k2j4h12i11i12j11j12k11j1h2,black
4030,42760,Steve Marvell,Niall,1418,2218,e7*h6g8j7i9h8g10g9f10d10e9d9f7e7f5d6e4c5d3,white
4031,42758,Niall,wyprzecap teraz i potem,2218,1609,l12*g7d3f4g9f9f6h5e11j11g8f8g10j8j7d11e10,white
4032,42372,wyprzecap teraz i potem,Niall,1609,2218,c2*k10h7f7g5h4h5f5f6j4j6e7e6d7d6c7c6i6g7i7i8h8g10f9e11f11f10h9h12h10g11i11k2i3,black
4033,42371,Niall,Greg Pallis,2218,1476,l12*g7f10i9h11k11j10d10e9d9f6e8h5b6d7b8c9j4i6l5j7k7j8k8k4j5k6,white
4034,42370,na_wspak,Niall,2034,2218,c2*g7h4e4e6h5f9i8h8g9g6f7g5h6j3k3j12j8h11f11i6j4g8e9,black
4035,40515,Niall,Greg Pallis,2218,1476,b10*h7c11e7f7d10c4g3e8g6k10i10g4k2j3d4f6c9d6c7d5a6b6a7h4b4b7a8b8a9b9a10b10l3k4l4k5,white
4036,40514,kierownik,Niall,1252,2218,f12g7g10d5h8i6j6j5e8f6e6f4f5g4k5k4m3l2g5i3h5b6h7j3,white
