,gid,black,white,black_rating,white_rating,move_list,winner
19331,1225201,Pierfrancesco,solimo,1382,1941,a5f9e9d11c11b13a13b12a12b10b11d9d10f7h7h6k5k4j5j4i5i4m3l2h5h4g6f5f8e7,white
19332,1225200,solimo,Pierfrancesco,1941,1382,b3*h6i4h4h5f6g5f5g3g4i2j3i3j4j8i8h10g10h9g9i5j5i6j6i7j7h8i9i10k9j9l7j11k11k12m10l11l12m11f3f4d5e8b9c7d7b11c10c12d11d13f12e11e10c9g8g7b10c8j12k10a8b6,white
19333,1224695,solimo,fullgore,1941,1475,b3j11i10i8f9f8d9e7d7e5c6c7d6d8h7g9b9c10c9e9d10d11e10e11f10f11g10g11h12i9h10c8a8b7a7b5g8i6h6h5i5j3i4i3h4,black
19334,1224694,solimo,Ralph Nelson BednarczukÃÂ®,1941,1349,b3,black
19336,1223025,kiwibill,solimo,1473,1941,k11*g7f10e9f8e8f4i4h9d11f7d7e6d6d5e5e4f5g4g5h4h5j2k2j3k3j4k4j5k5j6k6j7i3i2h3h2g3g2f3f2e3e2d3d2,white
19337,1223023,solimo,Piotr Karas,1941,1842,d3*g7j10e10j4g4g6i5g5i4h6i6h8h7f9f8e9d9e8d8e6i8i7g9g8j7j6m4k5d6d7e7f7f5f6,white
19338,1223020,Gerald,solimo,1211,1941,e7*,white
19339,1221966,solimo,ferrarifeleches,1941,1332,d3c5e4e5h4g6f6f7i5h7i7i6k5j5k4h9j8j7j6i8k7k6m5l5m4l6m6l7m7m8l8l9j9i12j10k11h11,black
19340,1221965,Gerald,solimo,1211,1941,e7*e7e6,white
19341,1221963,solimo,RuiValente,1941,1557,d3,black
19342,1221960,Thoddy,solimo,1441,1941,b12g7f7d10c10d8e9h4g4f6g6g5e6e7c8f5e3e4c5c7d7d5a8c4d4b7i4h5i5h6j6i8h7i6j8j5l4k3m2m1l2l1k2k1j2j1i2i1h2h1g2f8i10k7l6l7j7k5,white
19344,1220058,Thomas,solimo,1422,1941,c3g7c7c8f7d10e9e10f9f10j9j6i8i12h10g11h11g13k11j10k9k10m9l9m8l8m7k7k6l6g12f13f12e13e12c2d2d13d12c13c12b13a13b12a12b11a11b10a10b8,white
19345,1220056,solimo,Shemp Duchamp,1941,1651,g7*j6j10h10i8j9k7h8i7h7i5h6h5g6g5e6f3d4d3c3c2d2e5c6d10d7f9f6h9g9f11b12d12c10d8c8c9a10b9a9b8a8b7a7b6a6b5m9g10e9e10e11f10d9f7a5b4a4b3a3b1,white
19346,1220053,tjader,solimo,1505,1941,m11g7j6i9k8j7i7h9l6k3k4l3i4j4h6k6g8f10d10e9e10f9d9e7d7d8b9c8b8c6c7d6e6f5f6g5g6j1g3h2f2c13d12d13e12e13f12f13g12g13h12h13i12i13j12j13k12k13m12c9i5b10e8e5h4f7f8h7h8,black
19347,1209417,solimo,fullgore,1941,1475,f5c3f4f6h6h5i4i5d7d8c9c8e7e6d6e5d5e4d4e2e3f2g2e8g7g8i7i8j5k7i6h8f8e10e9d10b11d9f9f10g9g10h9h10i9i10j9j10k9k10m9l11a9b7a7a8m10m11,white
19348,2007440,Tom Ace,Giupiter,1929,1843,k2*d5g8i6h7f8f9i9,black
19350,2000965,apetresc ★,Tom Ace,1559,1929,a3*j9i5g5g6l4e7k4j3l2j6k6l5k5j8l7k8,white
19351,2000964,Tom Ace,apetresc ★,1929,1559,k2f8k10j11j10i5h5h6g6g8e8i3d8c12c10c11b11,black
19352,2000963,Tom Ace,lguser,1929,1584,k2h9e9e4g7j3e6f5f7,black
19353,2000962,lguser,Tom Ace,1584,1929,a13*e5d3j4i6e6h8g8f10,white
19354,2000961,morphles,Tom Ace,1752,1929,a3*g7j11i10g5k3f9g9i6h8h5l8i3j6k4i5j4i4j3f4h3e6f3g3h1g2g1,white
19355,2000960,Tom Ace,morphles,1929,1752,k2*i5h6k10j8j5i7g6f9e9f7d9e10c11c12d11d8g7f8h8j1h5,black
19356,2000959,Tom Ace,Pablo G Barrientos,1929,1753,k2i10g9f11f7f9h9g11j8k9h11g12f10e11c11e10d9c10d10e8c8d8c9d6d7e6f8g5h5g6h6g7d5c6g8h7k6i8i9j7k7k5j6,black
19357,2000958,Pablo G Barrientos,Tom Ace,1753,1929,d3*i11g7f5g8h7g6h6h5i5i4j4k2j3j2i3i2g4h3h4g3d8j7,white
19358,2000957,Alexander Kurz,Tom Ace,1813,1929,c2*g7j4i4g8f8g6h6h5i5h4,white
19359,2000956,Tom Ace,Alexander Kurz,1929,1813,k2*k10j4i4h6g6g7f7f8d9,black
19360,2000955,Tom Ace,struggler,1929,1844,k2e4j9j11l8j5g6g7e8f7h8j4e7,black
19361,2000954,struggler,Tom Ace,1844,1929,m1*j4j6l6j11h9h8g8g7h7i5f6d9,white
